Numero_expedient,Any,Mes_any,Dia_mes,Hora_dia,Numero_lesionats_lleus,Numero_lesionats_greus,Numero_victimes,Numero_vehicles_implicats,Longitud,Latitud
2018S000150    ,2018,1,8,7,1,0,1,2,2.129612,41.336163
2018S000761    ,2018,1,28,19,0,0,0,2,2.152513,41.362326
2018S005151    ,2018,7,4,13,1,0,1,2,2.132817,41.323437
2018S000933    ,2018,2,4,7,2,0,2,1,2.130752,41.33549
2018S006926    ,2018,9,14,6,0,0,0,2,2.124529,41.337668
2018S002192    ,2018,3,19,9,0,0,0,1,2.177601,41.389788
2018S007095    ,2018,9,21,6,1,0,1,2,2.132817,41.323437
2018S008180    ,2018,10,26,18,1,0,1,2,2.132817,41.323437
2018S009493    ,2018,12,13,6,1,0,1,2,2.123335,41.323498
2018S007094    ,2018,9,20,23,1,1,2,2,2.131682,41.323944
2018S007733    ,2018,10,11,14,1,0,1,2,2.121964,41.323741
2018S002149    ,2018,3,17,8,2,0,2,3,2.121964,41.323741
2018S003746    ,2018,5,14,10,1,0,1,2,2.12082,41.324298
2018S007607    ,2018,10,8,5,4,0,4,4,2.119444,41.324476
2018S003621    ,2018,5,10,8,1,0,1,2,2.118367,41.324533
2018S003664    ,2018,5,11,10,1,0,1,2,2.117136,41.326796
2018S000400    ,2018,1,16,14,3,0,3,2,2.134694,41.325806
2018S002757    ,2018,4,11,7,1,0,1,2,2.138722,41.332077
2018S002039    ,2018,3,13,18,4,0,4,2,2.114227,41.326497
2018S001575    ,2018,2,27,13,0,0,0,2,2.114227,41.326497
2018S007752    ,2018,10,11,13,1,0,1,2,2.117598,41.325242
2018S004702    ,2018,6,19,18,1,0,1,2,2.143603,41.33575
2018S006754    ,2018,9,6,13,2,0,2,2,2.135931,41.328537
2018S008519    ,2018,11,7,10,1,0,1,3,2.115847,41.329428
2018S000793    ,2018,1,30,6,1,0,1,2,2.115994,41.328539
2018S003243    ,2018,4,27,5,2,0,2,2,2.136109,41.329141
2018S001279    ,2018,2,16,14,1,0,1,2,2.135931,41.328537
2018S000395    ,2018,1,16,9,1,0,1,1,2.114155,41.329001
2018S005123    ,2018,7,3,15,0,1,1,1,2.120804,41.329149
2018S008405    ,2018,11,2,16,1,0,1,2,2.118089,41.329669
2018S009354    ,2018,12,7,11,1,0,1,2,2.117502,41.330028
2018S002103    ,2018,3,16,7,1,0,1,2,2.132049,41.335319
2018S008852    ,2018,10,9,13,1,0,1,1,2.121071,41.328481
2018S001791    ,2018,3,5,11,1,0,1,1,2.117502,41.330028
2018S003228    ,2018,4,26,13,1,0,1,1,2.117502,41.330028
2018S003596    ,2018,5,7,23,0,0,0,2,2.119147,41.3305
2018S009892    ,2018,12,28,7,1,0,1,2,2.111376,41.330626
2018S006087    ,2018,8,6,17,3,0,3,2,2.118089,41.329669
2018S003469    ,2018,5,4,9,1,0,1,2,2.117249,41.330928
2018S002540    ,2018,4,3,18,2,0,2,2,2.115598,41.331359
2018S007299    ,2018,9,28,15,2,0,2,4,2.128492,41.33135
2018S009260    ,2018,12,4,8,2,0,2,2,2.117622,41.334422
2018S005324    ,2018,7,10,9,1,0,1,2,2.129316,41.330876
2018S008253    ,2018,10,29,15,1,0,1,1,2.126894,41.331732
2018S002003    ,2018,3,12,14,1,0,1,2,2.138671,41.332974
2018S007397    ,2018,10,2,6,0,0,0,3,2.138671,41.332974
2018S003812    ,2018,5,16,9,0,1,1,2,2.137862,41.332074
2018S006674    ,2018,9,4,10,1,0,1,2,2.114873,41.330753
2018S009429    ,2018,12,10,11,1,0,1,1,2.113426,41.33218
2018S003030    ,2018,4,20,11,1,0,1,1,2.117138,41.333131
2018S000070    ,2018,1,4,9,1,0,1,1,2.117373,41.332873
2018S001482    ,2018,2,23,21,1,0,1,3,2.135962,41.332424
2018S007557    ,2018,10,6,3,1,0,1,2,2.116278,41.332829
2018S009706    ,2018,12,19,13,1,0,1,2,2.118196,41.331622
2018S009625    ,2018,12,17,8,1,0,1,2,2.137414,41.333092
2018S006030    ,2018,8,4,0,1,0,1,1,2.137862,41.332074
2018S001266    ,2018,2,15,21,1,0,1,2,2.130789,41.332959
2018S001244    ,2018,2,15,8,1,0,1,2,2.112578,41.333323
2018S009880    ,2018,12,27,14,1,0,1,2,2.128002,41.333869
2018S001368    ,2018,2,20,10,1,0,1,2,2.1361,41.333614
2018S002830    ,2018,4,13,15,1,0,1,2,2.111029,41.333773
2018S007705    ,2018,10,10,15,1,0,1,2,2.112116,41.334104
2018S003428    ,2018,5,3,13,1,0,1,2,2.116234,41.334729
2018S003435    ,2018,5,3,16,1,0,1,2,2.137942,41.341843
2018S007695    ,2018,10,10,10,2,0,2,5,2.1358,41.334135
2018S002362    ,2018,3,25,13,1,0,1,2,2.129612,41.336163
2018S003189    ,2018,4,25,9,0,0,0,3,2.151883,41.328179
2018S004568    ,2018,6,14,17,1,0,1,2,2.129612,41.336163
2018S005088    ,2018,7,2,17,2,0,2,2,2.111166,41.335539
2018S008571    ,2018,11,9,5,1,0,1,2,2.129612,41.336163
2018S001622    ,2018,2,28,19,1,0,1,2,2.141039,41.337143
2018S009028    ,2018,11,26,6,1,0,1,2,2.129612,41.336163
2018S002375    ,2018,3,26,13,1,0,1,1,2.107912,41.338411
2018S002099    ,2018,3,15,20,1,0,1,2,2.121214,41.336838
2018S003844    ,2018,5,16,19,1,0,1,3,2.124529,41.337668
2018S002306    ,2018,3,22,17,1,0,1,3,2.124529,41.337668
2018S007617    ,2018,10,8,8,1,0,1,1,2.120452,41.339426
2018S008657    ,2018,11,12,9,1,0,1,2,2.120452,41.339426
2018S009681    ,2018,12,18,18,1,0,1,1,2.120452,41.339426
2018S007394    ,2018,10,1,22,1,0,1,1,2.120452,41.339426
2018S003521    ,2018,5,6,6,2,0,2,2,2.120616,41.340133
2018S001951    ,2018,3,10,8,2,0,2,1,2.114054,41.339772
2018S007592    ,2018,10,7,12,0,0,0,1,2.1358,41.334135
2018S005745    ,2018,7,25,12,0,0,0,1,2.120616,41.340133
2018S008674    ,2018,11,12,20,1,0,1,2,2.151883,41.328179
2018S008531    ,2018,11,7,14,1,0,1,1,2.120452,41.339426
2018S008492    ,2018,11,6,15,2,0,2,1,2.120452,41.339426
2018S004233    ,2018,6,1,7,1,0,1,2,2.145356,41.343094
2018S000784    ,2018,1,29,16,1,0,1,2,2.124415,41.341083
2018S003113    ,2018,4,23,5,0,1,1,2,2.122302,41.34022
2018S005817    ,2018,7,27,15,2,0,2,5,2.125569,41.341339
2018S009438    ,2018,12,11,11,0,0,0,2,2.128743,41.342613
2018S005014    ,2018,6,29,16,1,0,1,4,2.125569,41.341339
2018S003688    ,2018,5,11,18,1,0,1,2,2.125569,41.341339
2018S000403    ,2018,1,16,16,1,0,1,2,2.144155,41.341709
2018S001199    ,2018,2,13,14,1,0,1,2,2.144249,41.342352
2018S002511    ,2018,4,3,5,1,0,1,2,2.128743,41.342613
2018S006645    ,2018,8,9,18,0,0,0,2,2.142438,41.343042
2018S008734    ,2018,11,14,14,0,0,0,1,2.144778,41.343214
2018S007908    ,2018,10,18,14,0,0,0,1,2.144778,41.343214
2018S008312    ,2018,10,31,6,0,0,0,1,2.144778,41.343214
2018S004109    ,2018,5,26,14,0,0,0,1,2.144778,41.343214
2018S005932    ,2018,8,1,6,0,0,0,1,2.144778,41.343214
2018S007682    ,2018,10,9,6,0,0,0,1,2.144778,41.343214
2018S003112    ,2018,4,23,3,0,1,2,2,2.128826,41.342475
2018S001414    ,2018,2,21,20,0,0,0,1,2.134155,41.344517
2018S000563    ,2018,1,22,11,1,0,1,2,2.14584,41.344353
2018S000189    ,2018,1,9,9,1,0,1,2,2.14584,41.344353
2018S005221    ,2018,7,6,17,1,0,1,2,2.133152,41.344008
2018S005850    ,2018,7,28,21,0,1,1,1,2.128749,41.345135
2018S004471    ,2018,6,11,7,1,0,1,2,2.128677,41.345553
2018S002198    ,2018,3,19,10,0,0,0,2,2.136396,41.345159
2018S004777    ,2018,6,21,18,1,0,1,3,2.134234,41.344391
2018S005186    ,2018,7,5,17,3,0,3,4,2.136396,41.345159
2018S000114    ,2018,1,6,2,0,0,0,1,2.136396,41.345159
2018S007732    ,2018,10,11,16,1,0,1,3,2.137491,41.345522
2018S000618    ,2018,1,24,6,2,0,2,3,2.141785,41.347103
2018S003981    ,2018,5,23,17,1,0,1,2,2.138572,41.345908
2018S000313    ,2018,1,13,1,0,0,0,1,2.132063,41.3468
2018S000873    ,2018,2,1,20,1,0,1,3,2.154434,41.351716
2018S002607    ,2018,4,6,0,0,0,0,1,2.140734,41.346676
2018S007441    ,2018,10,3,5,1,0,1,2,2.145506,41.347798
2018S000396    ,2018,1,16,12,1,0,1,2,2.145506,41.347798
2018S009403    ,2018,12,10,6,1,0,1,2,2.145506,41.347798
2018S000769    ,2018,1,29,9,1,0,1,2,2.139303,41.344241
