Numero_expedient,Descripcio_dia_setmana,NK_Any,Mes_any,Dia_mes,Hora_dia,Descripcio_torn,Numero_lesionats_lleus,Numero_lesionats_greus,Numero_victimes,Numero_vehicles_implicats,Longitud,Latitud
2019S000001    ,Dimarts,2019,1,1,1,Nit,0,1,1,1,2.15523550088791,41.3957443253883
2019S000002    ,Dimarts,2019,1,1,4,Nit,1,0,1,2,2.17999003755728,41.4253605414172
2019S000003    ,Dimarts,2019,1,1,5,Nit,1,0,1,1,2.19171161290955,41.3968872797875
2019S000004    ,Dimarts,2019,1,1,8,Matí,1,0,1,2,2.16542918118875,41.4087718910056
2019S000005    ,Dimarts,2019,1,1,12,Matí,2,0,2,1,2.17044049507234,41.394884229335
2019S000006    ,Dimarts,2019,1,1,7,Matí,1,0,1,2,2.1669872223521,41.4025208845695
2019S000007    ,Dimarts,2019,1,1,13,Matí,1,0,1,6,2.16178658319378,41.3901760288465
2019S000008    ,Dimarts,2019,1,1,13,Matí,1,0,1,2,2.16984075824118,41.3990840194981
2019S000009    ,Dimarts,2019,1,1,10,Matí,0,0,0,1,2.19346374727793,41.3913108344678
2019S000010    ,Dimarts,2019,1,1,18,Tarda,1,0,1,2,2.18580600814517,41.397232779224
2019S000011    ,Dimarts,2019,1,1,19,Tarda,1,0,1,2,2.17143898640051,41.4266405589725
2019S000012    ,Dimarts,2019,1,1,13,Matí,1,0,1,2,2.15648438330495,41.3841093376418
2019S000013    ,Dimarts,2019,1,1,21,Tarda,1,0,1,2,2.21052491481897,41.4023198492142
2019S000014    ,Dimecres,2019,1,2,0,Nit,1,0,1,2,2.14021340860341,41.4009218316116
2019S000015    ,Dimecres,2019,1,2,3,Nit,0,0,0,3,2.16070545899552,41.4288904333729
2019S000016    ,Dimecres,2019,1,2,7,Matí,1,0,1,3,2.13644550044667,41.4012802098972
2019S000017    ,Dimecres,2019,1,2,8,Matí,1,0,1,2,2.11693349364151,41.385370246567
2019S000018    ,Dimecres,2019,1,2,9,Matí,3,0,3,2,2.10663337693196,41.3832404694579
2019S000019    ,Dimecres,2019,1,2,9,Matí,1,0,1,3,2.17513059291016,41.4304542308332
2019S000020    ,Dimecres,2019,1,2,10,Matí,1,0,1,2,2.13930866344929,41.3680642167219
2019S000021    ,Dimecres,2019,1,2,10,Matí,2,0,2,2,2.20122448626699,41.4270207432675
2019S000022    ,Dimecres,2019,1,2,10,Matí,1,0,1,1,2.17555739912379,41.4363551228626
2019S000023    ,Dimecres,2019,1,2,8,Matí,1,0,1,2,2.13561870567755,41.3674463003947
2019S000024    ,Dimecres,2019,1,2,10,Matí,2,0,2,2,2.16813849028193,41.4105924485912
2019S000025    ,Dimecres,2019,1,2,12,Matí,1,0,1,2,2.13772005759179,41.3846068019425
2019S000026    ,Dimecres,2019,1,2,13,Matí,1,0,1,2,2.1106619943318,41.4086160354076
2019S000027    ,Dimecres,2019,1,2,14,Tarda,1,0,1,1,2.11693349364151,41.385370246567
2019S000028    ,Dimecres,2019,1,2,14,Tarda,1,0,1,2,2.16850452063849,41.4071839977026
2019S000029    ,Dimecres,2019,1,2,15,Tarda,1,0,1,2,2.19700335366826,41.4125767620833
2019S000030    ,Dimecres,2019,1,2,13,Matí,1,0,1,2,2.18975546713194,41.4128032840929
2019S000031    ,Dimecres,2019,1,2,13,Matí,1,0,1,2,2.14720090175942,41.3956715426893
2019S000032    ,Dimecres,2019,1,2,15,Tarda,1,0,1,2,2.19964159721129,41.4007558220958
2019S000033    ,Dimecres,2019,1,2,16,Tarda,1,0,1,2,2.19132987300726,41.4317143484491
